iter	RMSE
0	12.57856767
1	12.10638868
2	11.67004957
3	11.24520518
4	10.84690271
5	10.45887585
6	10.0857455
7	9.743185295
8	9.395936648
9	9.077713638
10	8.770017138
11	8.466493853
12	8.186799715
13	7.908259788
14	7.640509263
15	7.395250807
16	7.155361583
17	6.918713202
18	6.688368832
19	6.488222213
20	6.285039445
21	6.086225656
22	5.906927224
23	5.729904749
24	5.564096118
25	5.40133785
26	5.247636955
27	5.099859577
28	4.968159031
29	4.832154468
30	4.707704469
31	4.587857514
32	4.475616938
33	4.362368189
34	4.258407311
35	4.16235018
36	4.0736797
37	3.989675918
38	3.900119744
39	3.824348118
40	3.747399629
41	3.684763632
42	3.614602451
43	3.556325169
44	3.496208687
45	3.440261752
46	3.385542249
47	3.337273683
48	3.288557014
49	3.243644567
50	3.198834215
51	3.15703927
52	3.117599651
53	3.08150188
54	3.0460034
55	3.012914208
56	2.983447745
57	2.95233127
58	2.925078774
59	2.901861657
60	2.877022456
61	2.851983872
62	2.830283459
63	2.809565361
64	2.788658559
65	2.769820086
66	2.750272524
67	2.734475234
68	2.719011404
69	2.705463557
70	2.693289371
71	2.681273564
72	2.671812998
73	2.660674721
74	2.649610214
75	2.638903887
76	2.629740661
77	2.620450141
78	2.6116615
79	2.603793123
80	2.595262468
81	2.588949819
82	2.581472781
83	2.574997869
84	2.569113864
85	2.563003453
86	2.556663735
87	2.552047433
88	2.544889064
89	2.538908128
90	2.533555793
91	2.529423944
92	2.525174897
93	2.521752374
94	2.518259717
95	2.513677379
96	2.510123011
97	2.505486021
98	2.502454576
99	2.498797464
100	2.495758672
101	2.491936374
102	2.488906376
103	2.484620847
104	2.479288712
105	2.476500285
106	2.473015438
107	2.469762745
108	2.467034365
109	2.464281433
110	2.46104358
111	2.457459842
112	2.454274722
113	2.451616205
114	2.448123797
115	2.445933353
116	2.442406155
117	2.440151887
118	2.435440788
119	2.4332536
120	2.431163121
121	2.42882947
122	2.425988925
123	2.423725638
124	2.421520146
125	2.419117324
126	2.414078015
127	2.411891341
128	2.409510488
129	2.406215827
130	2.404983881
131	2.40326943
132	2.401092045
133	2.398299428
134	2.39587291
135	2.393458219
136	2.390843442
137	2.387516606
138	2.383287593
139	2.381613969
140	2.379926426
141	2.377760281
142	2.375725107
143	2.373817429
144	2.370668675
145	2.369353457
146	2.367812287
147	2.365669082
148	2.363111115
149	2.36083079
150	2.356944587
151	2.353906236
152	2.350773396
153	2.348709468
154	2.346316244
155	2.34473791
156	2.342771464
157	2.340167085
158	2.339125008
159	2.336510317
160	2.335376375
161	2.333906077
162	2.33077951
163	2.327828024
164	2.326455596
165	2.324992247
166	2.323221281
167	2.321414403
168	2.320470736
169	2.319221015
170	2.317527339
171	2.314959275
172	2.312977829
173	2.310961921
174	2.308914579
175	2.306505715
176	2.303963886
177	2.30208748
178	2.299875771
179	2.298109539
180	2.29700051
181	2.295087425
182	2.293840365
183	2.291943284
184	2.290107142
185	2.288837086
186	2.287380102
187	2.285706001
188	2.284183469
189	2.282963351
190	2.2804884
191	2.278162333
192	2.276796237
193	2.27520229
194	2.27378175
195	2.272116433
196	2.270858972
197	2.269541778
198	2.268026916
199	2.266579186
200	2.264167205
201	2.262140231
202	2.260612887
203	2.25924556
204	2.257685695
205	2.256029699
206	2.254865033
207	2.253721626
208	2.252226392
209	2.251066013
210	2.249524357
211	2.248036042
212	2.24660535
213	2.245208773
214	2.243845434
215	2.241918964
216	2.239851013
217	2.238549195
218	2.23727814
219	2.236037077
220	2.235254285
221	2.23404202
222	2.231895324
223	2.230710452
224	2.229553412
225	2.227705871
226	2.226575035
227	2.225067683
228	2.223374624
229	2.222268726
230	2.220274645
231	2.219132386
232	2.217382934
233	2.216323186
234	2.214761646
235	2.213462577
236	2.212520986
237	2.211486446
238	2.210476046
239	2.209262813
240	2.208178547
241	2.20719589
242	2.206214535
243	2.205052161
244	2.204025914
245	2.20302543
246	2.202049947
247	2.201128647
248	2.199349736
249	2.198446087
250	2.196510084
251	2.195626623
252	2.194708939
253	2.194135397
254	2.193289276
255	2.192462745
256	2.191600552
257	2.18982662
258	2.188339433
259	2.187297206
260	2.186847013
261	2.185053776
262	2.184220259
263	2.183304054
264	2.182511828
265	2.18177374
266	2.181015084
267	2.178952153
268	2.178211294
269	2.177488413
270	2.176783011
271	2.176114913
272	2.175189732
273	2.174539557
274	2.172658454
275	2.1720227
276	2.171180597
277	2.168815416
278	2.166426101
279	2.165870398
280	2.164177427
281	2.163005762
282	2.161445073
283	2.160536317
284	2.159916362
285	2.159134094
286	2.158682582
287	2.157673785
288	2.15598999
289	2.155557885
290	2.15388952
291	2.152148893
292	2.151621874
293	2.150783515
294	2.149591336
295	2.148967133
296	2.148066261
297	2.147495194
298	2.145410072
299	2.144549252
300	2.142694343
301	2.142120735
302	2.141402238
303	2.140026618
304	2.139364466
305	2.137833163
306	2.136354167
307	2.134250596
308	2.133564935
309	2.13308512
310	2.131835384
311	2.131288033
312	2.130489195
313	2.127963244
314	2.127322435
315	2.127179587
316	2.126520466
317	2.12604841
318	2.124316239
319	2.12374836
320	2.121699783
321	2.120328835
322	2.119892435
323	2.119248516
324	2.118438111
325	2.117080194
326	2.116952099
327	2.115009368
328	2.11466987
329	2.11333164
330	2.111610391
331	2.1110877
332	2.108405316
333	2.107943848
334	2.107139872
335	2.105957301
336	2.104516611
337	2.103058601
338	2.102524114
339	2.101223217
340	2.099951034
341	2.099507591
342	2.099109681
343	2.097971996
344	2.096675388
345	2.096296928
346	2.096000634
347	2.09547719
348	2.095373538
349	2.093939278
350	2.092304708
351	2.092148602
352	2.089900873
353	2.088395423
354	2.086154929
355	2.086055333
356	2.08510623
357	2.083088008
358	2.08149151
359	2.080762099
360	2.078920716
361	2.078305417
362	2.077600522
363	2.075943717
364	2.07556664
365	2.07428418
366	2.073257731
367	2.072091018
368	2.071468012
369	2.070172633
370	2.069688142
371	2.069351974
372	2.067350394
373	2.067021129
374	2.066482536
375	2.066008515
376	2.064814572
377	2.064290162
378	2.063826637
379	2.063579703
380	2.061407034
381	2.060818746
382	2.058917504
383	2.0573591
384	2.056071183
385	2.053891862
386	2.052169003
387	2.050272751
388	2.048686913
389	2.048017231
390	2.046640103
391	2.044754449
392	2.043340647
393	2.042439032
394	2.041617591
395	2.040135976
396	2.039684785
397	2.039602181
398	2.037479733
399	2.0357026
400	2.03367305
401	2.033095201
402	2.03256118
403	2.031220426
404	2.029954711
405	2.02878587
406	2.027327163
407	2.027092754
408	2.025658676
409	2.023797096
410	2.022334719
411	2.022259236
412	2.021402523
413	2.020280065
414	2.019310856
415	2.018236536
416	2.018012381
417	2.015951539
418	2.014909075
419	2.01385791
420	2.012531373
421	2.012276634
422	2.011064572
423	2.0102031
424	2.009007326
425	2.007490798
426	2.006352863
427	2.00584883
428	2.004049324
429	2.003859941
430	2.002587
431	2.00204865
432	2.001810371
433	1.999902626
434	1.998552455
435	1.996792755
436	1.996245776
437	1.995286465
438	1.994201936
439	1.993976352
440	1.992782378
441	1.992528404
442	1.992468282
443	1.991948469
444	1.99046088
445	1.989729921
446	1.988067223
447	1.986297841
448	1.984268739
449	1.983044635
450	1.982415784
451	1.981294561
452	1.98059972
453	1.979507911
454	1.978111587
455	1.97685226
456	1.975459383
457	1.974606235
458	1.974514652
459	1.973217745
460	1.972722616
461	1.97266635
462	1.971716852
463	1.971483178
464	1.970759847
465	1.97029946
466	1.969824073
467	1.968873883
468	1.968356379
469	1.966874611
470	1.9660233
471	1.96530477
472	1.964852867
473	1.964012542
474	1.963675924
475	1.96253394
476	1.961908902
477	1.961259199
478	1.96054532
479	1.960107929
480	1.959737549
481	1.959318814
482	1.958209489
483	1.957138472
484	1.955681912
485	1.955060593
486	1.954879723
487	1.953921075
488	1.953074409
489	1.952349347
490	1.952138231
491	1.950768482
492	1.950081436
493	1.949075579
494	1.947655977
495	1.946653349
496	1.946416929
497	1.944965105
498	1.944764556
499	1.94331271
500	1.943146498
501	1.942119499
502	1.940938436
503	1.939846117
504	1.938396979
505	1.937999045
506	1.936737338
507	1.936318567
508	1.935256542
509	1.934832268
510	1.933546898
511	1.932906595
512	1.931718976
513	1.931168663
514	1.930000872
515	1.929564637
516	1.92940709
517	1.928484233
518	1.927298053
519	1.926934966
520	1.926135683
521	1.924952074
522	1.924132627
523	1.923136313
524	1.921775638
525	1.920897122
526	1.920800221
527	1.919846819
528	1.918861315
529	1.918188295
530	1.917393236
531	1.916498216
532	1.916107484
533	1.914825597
534	1.914269531
535	1.91409087
536	1.913146048
537	1.912186469
538	1.911838179
539	1.910715451
540	1.910528664
541	1.909662865
542	1.909496828
543	1.909050635
544	1.908308727
545	1.907746118
546	1.906325088
547	1.905536546
548	1.905019739
549	1.903521387
550	1.903013482
551	1.901913655
552	1.901794526
553	1.900954151
554	1.900027347
555	1.899574696
556	1.898958418
557	1.898520646
558	1.897777287
559	1.896231079
560	1.89567486
561	1.893972511
562	1.893635682
563	1.892897853
564	1.892086435
565	1.891016716
566	1.889662193
567	1.889305596
568	1.887455882
569	1.887201162
570	1.886671225
571	1.886208921
572	1.885354932
573	1.884907065
574	1.884405523
575	1.88297041
576	1.882844196
577	1.881703373
578	1.881038025
579	1.880923723
580	1.880359719
581	1.87960811
582	1.878262654
583	1.877587151
584	1.876603999
585	1.876493597
586	1.875989584
587	1.87500549
588	1.873789304
589	1.872551303
590	1.8720224
591	1.871305663
592	1.870488724
593	1.869561259
594	1.869069272
595	1.868557236
596	1.868449621
597	1.867991664
598	1.866822708
599	1.865952753
600	1.865849133
601	1.865038175
602	1.864570884
603	1.862959464
604	1.862336163
605	1.861617786
606	1.860986474
607	1.859976026
608	1.859569527
609	1.858456629
610	1.858004158
611	1.856543899
612	1.855868113
613	1.854894699
614	1.85394512
615	1.853399032
616	1.852133682
617	1.851417053
618	1.85097905
619	1.850678856
620	1.849856339
621	1.848728739
622	1.848409883
623	1.847267417
624	1.84684446
625	1.846741075
626	1.845688951
627	1.844658187
628	1.843524065
629	1.841796274
630	1.841211827
631	1.840765682
632	1.840235124
633	1.839807656
634	1.839395777
635	1.839295377
636	1.83862199
637	1.83852517
638	1.837241562
639	1.836478262
640	1.836202975
641	1.835391719
642	1.834293414
643	1.833894966
644	1.833400589
645	1.832555205
646	1.831588042
647	1.831535533
648	1.830277117
649	1.828677091
650	1.828205664
651	1.827765218
652	1.826631868
653	1.825923541
654	1.824787725
655	1.824401277
656	1.823478345
657	1.822763796
658	1.822536421
659	1.822267878
660	1.821953291
661	1.821407239
662	1.821017188
663	1.819892078
