Date,AAPL
2018-01-02,43.06499862670898
2018-01-03,43.057498931884766
2018-01-04,43.25749969482422
2018-01-05,43.75
2018-01-06,43.28249931335449
2018-01-07,43.28249931335449
2018-01-08,43.587501525878906
2018-01-09,43.58250045776367
2018-01-10,43.5724983215332
2018-01-11,43.81999969482422
2018-01-12,44.272499084472656
2018-01-13,43.69178553989956
2018-01-14,43.76416651407877
2018-01-15,43.76699981689453
2018-01-16,44.04750061035156
2018-01-17,44.775001525878906
2018-01-18,44.81499862670898
2018-01-19,44.6150016784668
2018-01-20,44.39083353678385
2018-01-21,44.50500030517578
2018-01-22,44.25
2018-01-23,44.2599983215332
2018-01-24,43.55500030517578
2018-01-25,42.77750015258789
2018-01-26,42.87749862670898
2018-01-27,43.87857110159738
2018-01-28,43.72249984741211
2018-01-29,41.9900016784668
2018-01-30,41.74250030517578
2018-01-31,41.85749816894531
2018-02-01,41.94499969482422
2018-02-02,40.125
2018-02-03,41.902142660958425
2018-02-04,41.75624974568685
2018-02-05,39.122501373291016
2018-02-06,40.75749969482422
2018-02-07,39.8849983215332
2018-02-08,38.78749847412109
2018-02-09,39.102500915527344
2018-02-10,39.96071406773159
2018-02-11,39.62999979654948
2018-02-12,40.6775016784668
2018-02-13,41.084999084472656
2018-02-14,41.84249877929688
2018-02-15,43.247501373291016
2018-02-16,43.10749816894531
2018-02-17,41.12142835344587
2018-02-18,41.51041666666666
2018-02-19,41.99199981689453
2018-02-20,42.962501525878906
2018-02-21,42.76750183105469
2018-02-22,43.125
2018-02-23,43.875
2018-02-24,43.18083381652832
2018-02-25,43.16750030517578
2018-02-26,44.74250030517578
2018-02-27,44.59749984741211
2018-02-28,44.52999877929688
2018-03-01,43.75
2018-03-02,44.0525016784668
2018-03-03,44.09607151576451
2018-03-04,44.25791676839193
2018-03-05,44.20500183105469
2018-03-06,44.16749954223633
2018-03-07,43.75749969482422
2018-03-08,44.23500061035156
2018-03-09,44.994998931884766
2018-03-10,44.16607175554548
2018-03-11,44.23541704813639
2018-03-12,45.43000030517578
