timestamp,target
2018-04-11,42.520929180192105
2018-04-12,42.724290210313725
2018-04-13,42.96874181237024
2018-04-14,43.22838140785089
2018-04-15,43.34018013274146
2018-04-16,43.286560155742315
2018-04-17,43.457860695385385
2018-04-18,43.66680220833368
2018-04-19,43.826016260523375
2018-04-20,43.85460263633846
2018-04-21,43.53097947551796
2018-04-22,43.45259588179061
2018-04-23,43.25253436162285
2018-04-24,42.62096085252921
2018-04-25,42.125437719454794
2018-04-26,42.02036988831982
2018-04-27,41.522313281935084
2018-04-28,40.92823652382345
2018-04-29,40.93036963670078
2018-04-30,40.983888899446505
2018-05-01,41.065061616304604
2018-05-02,41.311125275115195
2018-05-03,42.02917597844952
2018-05-04,42.61456838331266
2018-05-05,43.61139821036256
2018-05-06,43.90729142807469
2018-05-07,44.07148769000259
2018-05-08,44.50933984337254
2018-05-09,44.97278735675705
2018-05-10,45.15470308248865
2018-05-11,46.104860793166196
2018-05-12,46.923895489571784
2018-05-13,46.9376922480454
2018-05-14,46.98176052781358
2018-05-15,47.02605912041279
2018-05-16,46.844998912306764
2018-05-17,46.82698453076056
2018-05-18,46.90572053062748
2018-05-19,46.87679669637753
2018-05-20,46.858483233223595
2018-05-21,46.9082540558654
2018-05-22,46.87957428831573
2018-05-23,46.8883535620053
2018-05-24,46.99220774898871
2018-05-25,47.01143442537759
2018-05-26,47.07331846102477
2018-05-27,47.07587481113828
2018-05-28,47.10321127732923
2018-05-29,47.08506382505712
2018-05-30,47.07427180854507
2018-05-31,47.02341354692035
2018-06-01,46.98940461061371
2018-06-02,47.12088522282922
2018-06-03,47.1371181064811
2018-06-04,47.1563174570048
2018-06-05,47.37758997708814
2018-06-06,47.707779594387006
2018-06-07,47.90287110432492
2018-06-08,48.17312397411706
2018-06-09,48.352420217059574
2018-06-10,48.34784681849813
2018-06-11,48.30921473911291
2018-06-12,48.177193105872036
2018-06-13,48.1239184676783
2018-06-14,48.078713052382454
2018-06-15,48.04130529246468
2018-06-16,47.86610299965307
2018-06-17,47.875170207649376
2018-06-18,47.811822658427936
2018-06-19,47.717228765606805
2018-06-20,47.465854898923396
2018-06-21,47.352500910790226
2018-06-22,47.06354702534672
2018-06-23,46.76548673757389
2018-06-24,46.69532653685448
2018-06-25,46.74847082914718
2018-06-26,46.53307323721515
2018-06-27,46.48174615331643
2018-06-28,46.44368480173881
2018-06-29,46.35337948683823
2018-06-30,46.271487727198505
2018-07-01,46.38473973314218
2018-07-02,46.38086033144392
2018-07-03,46.53114206559671
2018-07-04,46.45003604119371
2018-07-05,46.42252700539083
2018-07-06,46.461135709817675
2018-07-07,46.63754286219258
2018-07-08,46.567109949079075
2018-07-09,46.6628113767319
2018-07-10,46.95767915058852
2018-07-11,47.202021479013055
2018-07-12,47.19381421750551
2018-07-13,47.45201801506438
2018-07-14,47.72226348672586
2018-07-15,47.650627626556066
2018-07-16,47.62283536594046
2018-07-17,47.771636270701855
2018-07-18,47.790206363999154
2018-07-19,47.742084590933096
2018-07-20,47.8736013445146
2018-07-21,47.95169274237476
2018-07-22,47.96540969854429
2018-07-23,47.95230413969073
2018-07-24,48.01040105239864
2018-07-25,48.06614409483502
2018-07-26,48.23667798060513
2018-07-27,48.38780961683907
2018-07-28,48.37201870354394
2018-07-29,48.413887965635986
2018-07-30,48.39567636115071
2018-07-31,48.14670543850892
2018-08-01,47.943108962846885
2018-08-02,48.465309663369005
2018-08-03,49.20551601878703
2018-08-04,49.97016358328923
2018-08-05,50.340930895955914
2018-08-06,50.72113051841811
2018-08-07,51.097971660883296
2018-08-08,51.08158109088449
2018-08-09,51.04364668374357
2018-08-10,51.61720738739222
2018-08-11,52.095360038088
2018-08-12,52.041538736055735
2018-08-13,52.083815164432075
2018-08-14,52.16461210533916
2018-08-15,52.213921680377304
2018-08-16,52.35563925864749
2018-08-17,52.63521138762079
2018-08-18,53.12656703935157
2018-08-19,53.23410502524148
2018-08-20,53.31279451273617
2018-08-21,53.58158340496633
2018-08-22,53.675523488865466
2018-08-23,53.55592631071677
2018-08-24,53.79399946948781
2018-08-25,54.04839325286099
2018-08-26,54.053767627828286
2018-08-27,54.098421408332335
2018-08-28,54.250283982396304
2018-08-29,54.468749840009195
2018-08-30,54.81869114453191
2018-08-31,55.308145897511515
2018-09-01,55.91065476336607
2018-09-02,56.056396215290384
2018-09-03,56.15723143789273
2018-09-04,56.14842389923629
2018-09-05,56.32471348390462
2018-09-06,56.29541534010443
2018-09-07,56.42164298728136
2018-09-08,56.412977502742166
2018-09-09,56.557360968426586
2018-09-10,56.41882395717278
2018-09-11,55.99510969470122
2018-09-12,56.03980018313148
2018-09-13,56.03461667221559
2018-09-14,56.094830243117144
2018-09-15,56.0213165523038
2018-09-16,56.23807910516386
2018-09-17,56.17395645154812
2018-09-18,56.0174973113802
2018-09-19,55.61141389296621
2018-09-20,55.3406258658827
2018-09-21,55.21676020700627
2018-09-22,54.97761566016585
2018-09-23,55.102224539805896
2018-09-24,55.158693016450606
2018-09-25,55.28156073990563
2018-09-26,55.3907746177004
2018-09-27,55.52745853532996
2018-09-28,55.758397989805054
2018-09-29,56.07888174625387
2018-09-30,56.12137349998784
2018-10-01,56.10851676107744
2018-10-02,56.45105921643504
2018-10-03,56.666546551106286
2018-10-04,56.98391329341605
2018-10-05,57.29771566767069
2018-10-06,57.41127672294956
2018-10-07,57.414542270357416
2018-10-08,57.33648724343935
2018-10-09,56.91655716424317
2018-10-10,56.85796834749164
2018-10-11,56.452222906857315
2018-10-12,55.79621254084635
2018-10-13,55.506606009756915
