Date,ICE_Brent_Crude_Futures,Argus_LLS_Future,sgx_mb_Iron_ore_65,SGX_Aus_Coal_Futures,SGX_TSI_Iron_Ore_62_Futures,jpx_platinum_mini,Jpx_Dubai_Crudeoil,JPX_Gold_mini,Malaysian_crude_oil
2017-09-08,,,,,,,,,
2017-09-11,,,,,,,,-0.006839068176960894,
2017-09-12,,,,,,,,0.0,
2017-09-13,,,,,,,,0.010759629868732468,
2017-09-14,,,,,,,,-0.0034064296359378465,
2017-09-15,,,,,,,,0.006195257423627476,
2017-09-19,,,,,,,,-0.005095541401273884,
2017-09-20,,,,,,,,0.001280409731113874,
2017-09-21,,,,,,,,-0.002770673486786057,
2017-09-22,,,,,,,,-0.004060696730070479,
2017-09-25,,,,,,,,-0.0012875536480686511,
2017-09-26,,,,,,,,0.007950150408250867,
2017-09-27,,,,,,,,-0.00426348326582815,
2017-09-28,,,,,,,,-0.006636694497966222,
2017-09-29,,,,,,,,0.001293103448275934,
2017-10-02,,,,,,,,-0.0068876452862677295,
2017-10-03,,,,,,,,-0.0013003901170350884,
2017-10-04,,,,,,,,0.0006510416666667407,
2017-10-05,,,,,,,,0.0,
2017-10-06,,,,,,,,-0.003253090435914152,
2017-10-10,,,,,,,,0.011314186248912117,
2017-10-11,,,,,,,,0.0,
2017-10-12,,,,,,,,0.004087779690189253,
2017-10-13,,,,,,,,-0.0012856224555388707,
2017-10-16,,,,,,,,0.0030036472859902297,
2017-10-17,,,,,,,,-0.005347593582887722,
2017-10-18,,,,,,,,-0.005161290322580614,
2017-10-19,,,,,,,,0.001080847384349326,
2017-10-20,,,,,,,,0.005614338155905951,
2017-10-23,,,,,,,,-0.00021473051320597403,
2017-10-24,,,,,,,,0.0010738831615120237,
2017-11-08,,,,,,,,0.0,
2017-11-09,,,,,,0.005289450484866398,,0.003218193520703627,
2017-11-10,,,,,,0.0017538731365098759,,0.00042771599657820403,
2017-11-13,,,,,,-0.0020426028596439716,,-0.005344164172723431,
2017-11-14,,,,,,-0.0005847953216374657,,0.00042983021706421987,
2017-11-15,,,,,,-0.005851375073142151,,0.0,
2017-11-16,,0.007712082262210762,,,,0.0008828722778104758,,-0.004296455424274925,
2017-11-17,,0.005102040816326481,,,,0.0011761246692150173,,-0.0006472491909385036,
2017-11-20,,-0.012690355329949221,,,,0.0023494860499266856,,0.0028065630397235974,
